count,creator
1,http://example.org/nanopubCreationTool
1,http://orcid.org/0000-0000-0000-0000
1,http://www.researcherid.com/rid/B-5852-2012
1,http://www.researcherid.com/rid/B-5927-2012
1,http://www.researcherid.com/rid/B-6035-2012
1,https://scholar.google.com/citations?user=PS2D2GoAAAAJ&hl=pt-BR&oi=sra
1,https://scholar.google.de/citations?user=3DvsLZ8AAAAJ&hl=de
1,https://scholar.google.it/citations?user=9aI21r8AAAAJ&hl=en
2,http://nanobrowser.inn.ac/user/anonymous-54432872
2,https://github.com/globalbioticinteractions/elton
2,https://orcid.org/0000-0003-3138-4118
3,http://orcid.org/0000-0001-9842-9718
3,https://orcid.org/0000-0002-1267-0234
4,http://orcid.org/0000-0003-4727-9435
14,http://sorry.vse.cz/~xhudj19
26,http://orcid.org/0000-0002-5678-9907
82,http://orcid.org/0000-0003-3138-4118
112,https://github.com/peta-pico/nanodesk
151,http://orcid.org/0000-0003-3734-6091
1657,http://orcid.org/0000-0002-1215-167X
1657,http://orcid.org/0000-0003-4818-2360
1659,http://orcid.org/0000-0002-2759-8079
1659,http://orcid.org/0000-0002-7990-1324
4588,http://orcid.org/0000-0001-6048-1457
4588,http://orcid.org/0000-0002-7770-620X
4932,http://orcid.org/0000-0001-7542-0286
79502,https://doi.org/10.5281/zenodo.1212599
196368,http://orcid.org/0000-0001-8499-824X
286683,http://orcid.org/0000-0002-1267-0234
1254468,Human Protein Atlas project
1254468,Kalle von Feilitzen
4025981,http://orcid.org/0000-0002-1303-2189
4025981,http://orcid.org/0000-0003-1813-6857
4025981,CALIPHO project
4030007,http://orcid.org/0000-0001-6710-1373
4150992,http://orcid.org/0000-0001-6818-334X
4843212,http://orcid.org/0000-0001-5999-6269
4843212,http://orcid.org/0000-0002-7534-7661
4843212,http://orcid.org/0000-0003-1244-7654
4846587,http://orcid.org/0000-0002-9383-528X
4851432,http://orcid.org/0000-0003-0169-8159
